"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"204",35,"60637",29,2013,"60637",48270,16,77,4,2,19746,753,30.7,4,5,-0.63222305971596
"205",36,"60638",7,2013,"60638",56033,54,3,1,41,25850,802,37.2,4,3,-0.408571112360276
"206",37,"60639",21,2013,"60639",91934,7,15,0,77,14310,771,30.3,4,5,-0.831399335244384
"207",38,"60640",23,2013,"60640",64365,53,18,13,13,35414,802,37.2,4,3,-0.0581439785939313
"208",39,"60641",17,2013,"60641",70730,38,2,4,54,23168,779,35.3,4,4,-0.50684020194218
"209",40,"60642",6,2013,"60642",18312,59,11,5,21,45788,1035,31.7,4,3,0.321961739274331
"210",41,"60643",17,2013,"60643",51836,23,72,0,3,28249,779,42.1,4,4,-0.320671207100399
"211",42,"60644",31,2013,"60644",47631,2,94,0,3,13381,715,32.5,4,5,-0.865438106393374
"212",43,"60645",10,2013,"60645",46913,44,16,15,22,25500,893,35,4,3,-0.421395191910487
"213",58,"60646",4,2013,"60646",28314,76,1,10,12,40071,761,42.7,4,2,0.112489559878451
"214",44,"60647",24,2013,"60647",87146,38,6,3,52,30368,862,31.6,4,4,-0.243030565480691
"215",45,"60649",28,2013,"60649",45444,2,94,0,2,20347,723,37.9,4,5,-0.610202283116883
"216",46,"60651",32,2013,"60651",61150,3,63,0,33,14599,730,32.7,4,5,-0.820810309558638
"217",47,"60652",6,2013,"60652",42517,16,48,0,35,23889,946,34.9,4,5,-0.480422598068745
"218",48,"60653",9,2013,"60653",31086,4,91,1,2,22333,608,35.6,4,5,-0.537434791726256
"219",49,"60654",10,2013,"60654",15885,73,5,10,9,101469,1772,32.8,4,2,2.3621262348038
"220",52,"60657",12,2013,"60657",68088,81,3,7,7,63820,1138,30.5,4,1,0.982658317701215
"221",53,"60659",8,2013,"60659",39657,40,5,32,20,21675,888,35.1,4,4,-0.561544061280653
"222",54,"60660",11,2013,"60660",42060,51,15,13,18,30160,794,36.2,4,3,-0.250651732756246
"223",55,"60661",3,2013,"60661",7436,64,6,22,6,76827,1555,31,4,2,1.45923775401435
"224",56,"60707",2,2013,"60707",42712,58,7,3,29,26405,810,39.1,4,3,-0.388235786216369
"225",57,"60827",4,2013,"60827",28547,3,92,0,4,16567,720,31,4,5,-0.748702342259165
"226",1,"60601",5,2012,"60601",9732,63,11,18,6,89136,1717,36.6,3,2,1.91024231168164
"227",3,"60603",3,2012,"60603",882,61,4,30,5,73239,2001,26.1,3,2,1.32777261851104
"228",4,"60604",2,2012,"60604",415,80,0,16,3,135807,1614,54,3,2,3.62027835936138
