"","X.1","X","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"85788",1355156,1355156,9450938,"HX104207","2014-01-04 08:00:00","021XX S ASHLAND AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","OTHER","false","false",1234,12,25,31,"14",1166045,1889931,2014,"02/04/2016 06:33:39 AM",41.85355,-87.66604,"(41.853552495, -87.666038448)"
"982",388793,388793,7915124,"HT123368","2011-01-17 03:30:00","013XX N SEDGWICK ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",1821,18,27,8,"14",1173416,1908947,2011,"02/04/2016 06:33:39 AM",41.905573245,-87.638419281,"(41.905573245, -87.638419281)"
"43807",1334340,1334340,9415130,"HW558602","2013-12-04 04:05:00","021XX S ARCHER AVE","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","SMALL RETAIL STORE","false","false",914,9,25,34,"10",1175146,1890138,2013,"02/04/2016 06:33:39 AM",41.85392,-87.63263,"(41.853921583, -87.632628563)"
"83386",513882,513882,8111133,"HT341989","2011-06-10 10:00:00","120XX S PERRY AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",523,5,9,53,"14",1177761,1825171,2011,"02/04/2016 06:33:39 AM",41.67559,-87.62499,"(41.675586004, -87.624994262)"
"19008",918563,918563,8746483,"HV421624","2012-08-07 09:00:00","048XX S LANGLEY AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE-GARAGE","false","false",223,2,4,38,"14",1181749,1872986,2012,"02/04/2016 06:33:39 AM",41.8067,-87.60892,"(41.806704882, -87.608924226)"
"3340",1102870,1102870,9043784,"HW189218","2013-03-10 07:00:00","061XX S LAFLIN ST","0890","THEFT","FROM BUILDING","RESIDENCE","false","true",713,7,16,67,"06",1167386,1864118,2013,"02/04/2016 06:33:39 AM",41.78269,-87.66186,"(41.782690172, -87.661856882)"
"80255",615235,615235,8268796,"HT502930","2011-09-18 04:57:00","056XX W CHICAGO AVE","0890","THEFT","FROM BUILDING","CURRENCY EXCHANGE","false","false",1511,15,29,25,"06",1138792,1904784,2011,"02/04/2016 06:33:39 AM",41.89485,-87.76571,"(41.894848727, -87.765707358)"
"79504",761477,761477,8499097,"HV176063","2012-02-28 01:30:00","049XX W AUGUSTA BLVD","2024","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1531,15,37,25,"18",1143344,1906200,2012,"02/04/2016 06:33:39 AM",41.89865,-87.74895,"(41.898650538, -87.748953467)"
"54379",828437,828437,8607983,"HV281431","2012-05-11 10:30:00","008XX W 71ST ST","1330","CRIMINAL TRESPASS","TO LAND","ABANDONED BUILDING","true","false",733,7,17,68,"26",1171731,1857770,2012,"02/04/2016 06:33:39 AM",41.76518,-87.64611,"(41.765176291, -87.646112811)"
"20610",2253601,2253601,11056429,"JA393328","2017-08-14 08:00:00","027XX W HARRISON ST","0820","THEFT","$500 AND UNDER","OTHER","false","false",1135,11,2,27,"06",1158248,1897253,2017,"08/21/2017 03:52:56 PM",41.87381,-87.69446,"(41.873807522, -87.69445629)"
"99800",792516,792516,8549222,"HV224267","2012-04-01 09:25:00","001XX W MAPLE ST","033A","ROBBERY","ATTEMPT: ARMED-HANDGUN","SIDEWALK","false","false",1824,18,42,8,"03",1174886,1907592,2012,"02/04/2016 06:33:39 AM",41.90182,-87.63306,"(41.901822253, -87.633060157)"
