"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"272","60643","60643",19,2015,"60643",51836,23,72,0,3,28249,779,42.1
"273","60644","60644",47,2015,"60644",47631,2,94,0,3,13381,715,32.5
"274","60645","60645",7,2015,"60645",46913,44,16,15,22,25500,893,35
"275","60646","60646",1,2015,"60646",28314,76,1,10,12,40071,761,42.7
"276","60647","60647",26,2015,"60647",87146,38,6,3,52,30368,862,31.6
"277","60649","60649",37,2015,"60649",45444,2,94,0,2,20347,723,37.9
"278","60651","60651",47,2015,"60651",61150,3,63,0,33,14599,730,32.7
"279","60652","60652",7,2015,"60652",42517,16,48,0,35,23889,946,34.9
"280","60653","60653",19,2015,"60653",31086,4,91,1,2,22333,608,35.6
"281","60654","60654",12,2015,"60654",15885,73,5,10,9,101469,1772,32.8
"282","60655","60655",5,2015,"60655",28173,86,7,1,6,35689,867,37.6
"283","60656","60656",2,2015,"60656",27468,77,1,8,12,29771,958,41.1
"284","60657","60657",16,2015,"60657",68088,81,3,7,7,63820,1138,30.5
"285","60659","60659",14,2015,"60659",39657,40,5,32,20,21675,888,35.1
"286","60660","60660",5,2015,"60660",42060,51,15,13,18,30160,794,36.2
"287","60661","60661",7,2015,"60661",7436,64,6,22,6,76827,1555,31
"288","60707","60707",3,2015,"60707",42712,58,7,3,29,26405,810,39.1
"289","60827","60827",4,2015,"60827",28547,3,92,0,4,16567,720,31
"290","60601","60601",8,2013,"60601",9732,63,11,18,6,89136,1717,36.6
"291","60602","60602",4,2013,"60602",1463,62,2,22,12,66748,1487,32.4
"292","60603","60603",2,2013,"60603",882,61,4,30,5,73239,2001,26.1
"293","60604","60604",1,2013,"60604",415,80,0,16,3,135807,1614,54
"294","60605","60605",6,2013,"60605",24972,58,18,17,5,58338,1560,33.1
"295","60606","60606",3,2013,"60606",2789,75,2,13,9,83005,1855,30.9
"296","60607","60607",11,2013,"60607",25134,53,16,19,8,50222,1303,30.6
"297","60608","60608",20,2013,"60608",78794,15,16,10,58,16542,636,31.3
"298","60609","60609",30,2013,"60609",62773,17,28,4,49,14552,613,30.4
"299","60610","60610",7,2013,"60610",38740,68,17,7,6,71176,1203,34.3
"300","60611","60611",13,2013,"60611",29722,75,4,15,4,107019,1549,39.5
"301","60612","60612",25,2013,"60612",36052,20,61,4,14,21407,767,30.6
"302","60613","60613",10,2013,"60613",49536,76,6,6,10,55034,1066,31.5
"303","60614","60614",8,2013,"60614",68363,82,4,5,7,67585,1232,29.8
"304","60615","60615",25,2013,"60615",40745,25,60,7,5,32992,876,33.9
"305","60616","60616",14,2013,"60616",49491,24,24,39,11,28052,819,35.8
"306","60617","60617",37,2013,"60617",83435,7,54,0,37,18242,648,36.1
"307","60618","60618",25,2013,"60618",97413,44,2,4,47,31862,873,32.9
"308","60619","60619",46,2013,"60619",64922,1,97,0,1,19987,701,39.4
"309","60620","60620",65,2013,"60620",73253,1,97,0,1,16347,721,38.2
"310","60621","60621",52,2013,"60621",33608,1,96,0,1,11893,676,31.6
"311","60622","60622",23,2013,"60622",54272,59,8,3,28,43393,988,31.1
"312","60623","60623",54,2013,"60623",85158,2,34,0,63,11463,611,27.8
"313","60624","60624",63,2013,"60624",39283,2,95,0,2,11731,690,27.9
"314","60625","60625",18,2013,"60625",78966,42,4,14,38,29124,855,33.4
"315","60626","60626",20,2013,"60626",51061,42,25,7,23,24054,788,33
"316","60628","60628",56,2013,"60628",71710,2,94,0,3,17025,748,37.5
"317","60629","60629",42,2013,"60629",113833,9,23,1,67,14299,743,29.2
"318","60630","60630",12,2013,"60630",57886,59,1,11,27,26705,866,38.1
"319","60631","60631",5,2013,"60631",28899,84,1,2,12,35878,1022,43.7
"320","60632","60632",26,2013,"60632",90845,10,2,5,83,13596,672,29.3
"321","60633","60633",3,2013,"60633",13474,32,25,1,42,20668,749,36.6
"322","60634","60634",19,2013,"60634",72718,59,1,4,35,24269,849,38.9
"323","60636","60636",30,2013,"60636",39918,1,94,0,3,11897,686,32.2
"324","60637","60637",47,2013,"60637",48270,16,77,4,2,19746,753,30.7
"325","60638","60638",15,2013,"60638",56033,54,3,1,41,25850,802,37.2
"326","60639","60639",31,2013,"60639",91934,7,15,0,77,14310,771,30.3
"327","60640","60640",26,2013,"60640",64365,53,18,13,13,35414,802,37.2
"328","60641","60641",23,2013,"60641",70730,38,2,4,54,23168,779,35.3
"329","60642","60642",9,2013,"60642",18312,59,11,5,21,45788,1035,31.7
"330","60643","60643",23,2013,"60643",51836,23,72,0,3,28249,779,42.1
"331","60644","60644",51,2013,"60644",47631,2,94,0,3,13381,715,32.5
"332","60645","60645",15,2013,"60645",46913,44,16,15,22,25500,893,35
"333","60646","60646",5,2013,"60646",28314,76,1,10,12,40071,761,42.7
"334","60647","60647",42,2013,"60647",87146,38,6,3,52,30368,862,31.6
"335","60649","60649",46,2013,"60649",45444,2,94,0,2,20347,723,37.9
"336","60651","60651",42,2013,"60651",61150,3,63,0,33,14599,730,32.7
"337","60652","60652",13,2013,"60652",42517,16,48,0,35,23889,946,34.9
"338","60653","60653",19,2013,"60653",31086,4,91,1,2,22333,608,35.6
"339","60654","60654",14,2013,"60654",15885,73,5,10,9,101469,1772,32.8
"340","60655","60655",1,2013,"60655",28173,86,7,1,6,35689,867,37.6
"341","60656","60656",1,2013,"60656",27468,77,1,8,12,29771,958,41.1
"342","60657","60657",13,2013,"60657",68088,81,3,7,7,63820,1138,30.5
"343","60659","60659",8,2013,"60659",39657,40,5,32,20,21675,888,35.1
"344","60660","60660",17,2013,"60660",42060,51,15,13,18,30160,794,36.2
"345","60661","60661",5,2013,"60661",7436,64,6,22,6,76827,1555,31
"346","60707","60707",4,2013,"60707",42712,58,7,3,29,26405,810,39.1
"347","60827","60827",5,2013,"60827",28547,3,92,0,4,16567,720,31
"348","60601","60601",11,2017,"60601",9732,63,11,18,6,89136,1717,36.6
"349","60602","60602",9,2017,"60602",1463,62,2,22,12,66748,1487,32.4
"350","60603","60603",4,2017,"60603",882,61,4,30,5,73239,2001,26.1
"351","60604","60604",3,2017,"60604",415,80,0,16,3,135807,1614,54
"352","60605","60605",8,2017,"60605",24972,58,18,17,5,58338,1560,33.1
"353","60606","60606",2,2017,"60606",2789,75,2,13,9,83005,1855,30.9
"354","60607","60607",9,2017,"60607",25134,53,16,19,8,50222,1303,30.6
"355","60608","60608",16,2017,"60608",78794,15,16,10,58,16542,636,31.3
"356","60609","60609",24,2017,"60609",62773,17,28,4,49,14552,613,30.4
"357","60610","60610",13,2017,"60610",38740,68,17,7,6,71176,1203,34.3
"358","60611","60611",15,2017,"60611",29722,75,4,15,4,107019,1549,39.5
"359","60612","60612",27,2017,"60612",36052,20,61,4,14,21407,767,30.6
